Timestep,Score,Won,Steps Alive
645464,3,0,124
647104,6,0,205
647888,2,0,98
649032,4,0,143
649408,2,0,47
650568,2,0,145
651464,2,0,112
652296,2,0,104
652688,0,0,49
653552,2,0,108
655240,2,0,211
655960,2,0,90
657200,1,0,155
657600,1,0,50
658120,1,0,65
660944,5,0,353
661720,2,0,97
662616,5,0,112
662992,1,0,47
663760,2,0,96
665112,3,0,169
666744,2,0,204
667120,2,0,47
667944,3,0,103
668360,1,0,52
670352,6,0,249
670832,1,0,60
671232,1,0,50
671608,1,0,47
672032,1,0,53
672448,1,0,52
673776,2,0,166
674224,2,0,56
674952,1,0,91
675376,1,0,53
676160,2,0,98
677320,3,0,145
679768,3,0,306
680248,1,0,60
681496,4,0,156
682264,2,0,96
683464,4,0,150
683936,1,0,59
685456,5,0,190
685832,1,0,47
686264,1,0,54
686640,1,0,47
687024,1,0,48
688288,4,0,158
689472,4,0,148
690640,4,0,146
691048,1,0,51
691440,1,0,49
692264,3,0,103
693440,3,0,147
693848,1,0,51
695208,4,0,170
696040,2,0,104
697168,4,0,141
698064,1,0,112
698448,1,0,48
698824,1,0,47
699984,4,0,145
700424,1,0,55
701600,2,0,147
702848,4,0,156
703232,0,0,48
703704,2,0,59
704232,1,0,66
705752,3,0,190
706208,1,0,57
707088,2,0,110
709136,5,0,256
709920,2,0,98
710312,1,0,49
710688,1,0,47
711936,3,0,156
713568,7,0,204
713968,2,0,50
714456,0,0,61
714840,2,0,48
717256,7,0,302
717680,2,0,53
718840,2,0,145
719712,2,0,109
720096,2,0,48
721272,3,0,147
722080,2,0,101
722456,2,0,47
724032,1,0,197
724432,1,0,50
724848,1,0,52
725232,1,0,48
728712,6,0,435
729280,1,0,71
730928,3,0,206
731320,1,0,49
732888,5,0,196
733360,2,0,59
733768,2,0,51
735040,3,0,159
735416,2,0,47
735808,1,0,49
736200,1,0,49
736672,0,0,59
737664,4,0,124
738120,0,0,57
738896,2,0,97
739320,1,0,53
739712,1,0,49
740992,3,0,160
742232,4,0,155
742616,1,0,48
742992,0,0,47
744152,4,0,145
744528,1,0,47
